iso_alpha_3,year,ef_frst_sequestration_young_secondary_kt_co2_ha
HRV,2016,0.0041211547209236855
HRV,2017,0.004118360805001088
HRV,2018,0.004117109836673264
HRV,2019,0.004117109836673264
HTI,2015,0.005691733532800962
HTI,2016,0.005691837021505198
HTI,2017,0.005690517553665478
HTI,2018,0.0056899759457049335
HTI,2019,0.005690091720385692
HUN,2015,
HUN,2016,
HUN,2017,
HUN,2018,
HUN,2019,
IDN,2015,0.0033676906325284146
IDN,2016,0.0033677908215844887
IDN,2017,0.0033679839996927953
IDN,2018,0.003368026409058181
IDN,2019,0.0033680905674768917
IMN,2015,0.007327383935829498
IMN,2016,0.007327383935829498
IMN,2017,0.007327383935829498
IMN,2018,0.007327383935829498
IMN,2019,0.007327383935829498
IND,2015,0.003218881147988844
IND,2016,0.0032189300982320766
IND,2017,0.003218970189774085
IND,2018,0.003218845865310259
IND,2019,0.00321871683369655
IRL,2015,0.007327383935829501
IRL,2016,0.0073273839358295
IRL,2017,0.0073273839358295
IRL,2018,0.0073273839358295
IRL,2019,0.0073273839358295
IRN,2015,0.002605242843389261
IRN,2016,0.0026018590311682396
IRN,2017,0.0026006283371948365
IRN,2018,0.002600937420273398
IRN,2019,0.0026008902830744556
IRQ,2015,0.0032215772846877063
IRQ,2016,0.0032215772846877063
IRQ,2017,0.003221577284687706
IRQ,2018,0.0032215772846877063
IRQ,2019,0.0032215772846877063
ISL,2015,0.0026264715077742224
ISL,2016,0.002626471507774223
ISL,2017,0.0026264715077742233
ISL,2018,0.0026264715077742233
ISL,2019,0.002626471507774223
ISR,2015,0.003991649616648376
ISR,2016,0.003991649616648376
ISR,2017,0.003991649616648376
ISR,2018,0.003991649616648376
ISR,2019,0.003991649616648376
ITA,2015,0.004361846876084463
ITA,2016,0.0043567048846790395
ITA,2017,0.004359778629187628
ITA,2018,0.00436172095869677
ITA,2019,0.004361273010045595
JAM,2015,0.00566419132902101
JAM,2016,0.0056697758475725045
JAM,2017,0.0056701171654248384
JAM,2018,0.005669789687074912
JAM,2019,0.005670459991075153
JOR,2015,0.0032503083190234807
JOR,2016,0.0032503083190234807
JOR,2017,0.0032503083190234807
JOR,2018,0.0032503083190234807
JOR,2019,0.00325030831902348
JPN,2015,0.0024999999999999996
JPN,2016,0.0024999999999999996
JPN,2017,0.0024999999999999996
JPN,2018,0.0024999999999999996
JPN,2019,0.0025
KAZ,2015,0.010037195674560639
KAZ,2016,0.010052821686317406
KAZ,2017,0.010052821686317406
KAZ,2018,0.010038570579682339
KAZ,2019,0.010054461238886975
KEN,2015,0.004829023442405394
KEN,2016,0.004827633246176073
KEN,2017,0.004823997528576443
KEN,2018,0.004823411330874184
KEN,2019,0.004838988313720303
KGZ,2015,
KGZ,2016,
KGZ,2017,
KGZ,2018,
KGZ,2019,
KHM,2015,0.0032498899215042515
KHM,2016,0.0032482353383405417
KHM,2017,0.003247874487329086
KHM,2018,0.0032474273800208254
KHM,2019,0.0032483108477703933
KIR,2015,0.005699999999999999
KIR,2016,0.005699999999999999
KIR,2017,0.005699999999999999
KIR,2018,0.005699999999999999
KIR,2019,0.005699999999999999
KNA,2015,0.005241189122692298
KNA,2016,0.005241189122692298
KNA,2017,0.005241189122692298
KNA,2018,0.005241189122692298
KNA,2019,0.005241189122692298
KOR,2015,0.0025
KOR,2016,0.0025
KOR,2017,0.0025
KOR,2018,0.0025
KOR,2019,0.0025
KWT,2015,0.0019114914615207387
KWT,2016,0.001911491461520739
KWT,2017,0.0019114914615207387
KWT,2018,0.0019114914615207387
KWT,2019,0.001911491461520739
LAO,2015,0.0030027636029110794
LAO,2016,0.003002871213641113
LAO,2017,0.00300296618976312
LAO,2018,0.0030029408992046413
LAO,2019,0.0030029748160100285
LBN,2015,0.006066560182417392
LBN,2016,0.006066560182417392
LBN,2017,0.0060665601824173914
LBN,2018,0.0060665601824173914
LBN,2019,0.006066560182417392
LBR,2015,0.007534738144004587
LBR,2016,0.00753472316926463
LBR,2017,0.0075347215046607866
LBR,2018,0.007534713173021289
LBR,2019,0.007534706526932724
LBY,2015,0.0013576060679949614
LBY,2016,0.0013576060679949614
LBY,2017,0.0013576060679949611
